"0943961417","4"
"Ambato","44"
"Antonio ante ","1"
"Arenillas","3"
"Atacames-Esmeraldas","2"
"Atuntaqui ","2"
"Azogues","4"
"Baba","5"
"Babahoyo","46"
"Biblian","6"
"Buena fe ","1"
"Caluma","1"
"Cañar ","4"
"Canton samborondon","36"
"Catamayo","11"
"Cayambe","16"
"Cayambe(Ayora)","11"
"Celica","1"
"Chaltura","1"
"Chone","30"
"Coca","6"
"Conocoto","2"
"Cotacachi","6"
"Cuenca","48"
"Daule","6"
"Dura","1"
"Duran","31"
"Durán el Recreo ","1"
"Ecuador","10"
"Ecuador Ayanpe ","1"
"Ecuatoriano","1"
"El chaco","4"
"El coca","7"
"EL EMPALME- GUAYAS","20"
"El Guabo ","7"
"El oro","1"
"El triunfo ","7"
"ESMERALDAS","19"
"Esmeraldas - Muisne - San Gregorio- Tres Vias","2"
"Esmeraldas muisne Tres Vias","1"
"Esmeraldas-Atacames ","5"
"Esmeraldas-Quininde-Rosa Zarate","1"
"Guano","1"
"Guaranda","3"
"Guayaquil","729"
"Guayaquil -Durán ","1"
"Guayaquill","11"
"Guayas","11"
"Guayas - El Triunfo","1"
"Guayquil ","2"
"Gusyaquil","3"
"Huaquillas","18"
"Ibarra","30"
"Jaramijo","4"
"Jipijapa","4"
"Junin","5"
"La Concordia ","1"
"La libertad","16"
"La Troncal","2"
"Lago agrio","17"
"Latacunga ","99"
"Loja","57"
"Loja Catamayo","1"
"Loreto","9"
"los rios-quevedo-la esperanza","1"
"Macara","1"
"Macas","2"
"Machala ","39"
"Manabi","2"
"Manabi portoviejo riochico","1"
"Manta","77"
"Milagro ","33"
"Montañita ","1"
"Montecristi ","22"
"Moraspungo","2"
"Naranjito ","1"
"Nueva Loja","2"
"Nueva Union","1"
"Otavalo","4"
"Otavlo","1"
"Pajan","1"
"Pasaje ","6"
"Pastocalle","1"
"PAUTE","1"
"Pedro Vicente Maldonado","2"
"Pichincha","1"
"Playas","13"
"Portoviejo","38"
"Pucara ","1"
"Puyo","6"
"Quevedo ","17"
"Quevedo parroquia de San Carlos","1"
"Quinche,Quito","2"
"Quinindé","1"
"Quinsaloma ","1"
"Quito","412"
"Quito  Ecuador ","3"
"Quito - El Quinche","1"
"Quito- Guayllabamba","1"
"Quito-Ecuador","1"
"Quito, Cumbaya, Diamond Miravalle","1"
"Quuto","3"
"Riobamba","52"
"Rocafuerte","1"
"Salcedo","13"
"Salinas","8"
"Salitre ","1"
"Samborondón","15"
"San clemenete ","1"
"San Gabriel ","9"
"San miguel ","1"
"San Miguel de los Bancos","2"
"Sangolqui","20"
"Santa Ana Manabi ","7"
"Santa Elena ","38"
"Santa Elena - Santa Elena","1"
"Santa lucia","1"
"Santa Rosa ","2"
"Santo Domingo","9"
"Santo Domingo de los Stachilas","1"
"Saquisili","8"
"Shushufindi ","2"
"Sucre","3"
"Sucua, Huambi","1"
"Tabacundo ","1"
"Tarifa","8"
"Tena","10"
"Tenguel","1"
"Tosagua ","2"
"Tulcán","4"
"Urcuqui","1"
"Uyumbicho","3"
"Ventanas","9"
"Vinces","3"
